Date,Bitcoin Price,Gold Price
2012-01,6.1225806451612925,1656.095
2012-02,5.113793103448277,1743.095
2012-03,4.9,1675.057
2012-04,4.9799999999999995,1648.539
2012-05,5.070967741935481,1585.114
2012-06,6.046666666666668,1595.632
2012-07,7.9387096774193555,1592.784
2012-08,10.941935483870965,1625.682
2012-09,11.633333333333333,1741.925
2012-10,11.725806451612904,1746.348
2012-11,11.49,1724.352
2012-12,13.364516129032253,1687.342
2013-01,15.599999999999998,1671.886
2013-02,26.042857142857137,1630.688
2013-03,57.50322580645162,1591.013
2013-04,130.34,1485.905
2013-05,119.9677419354839,1416.143
2013-06,107.81666666666666,1342.7
2013-07,90.6774193548387,1284.348
2013-08,114.82580645161292,1345.048
2013-09,136.68333333333334,1348.464
2013-10,168.1290322580645,1314.402
2013-11,582.1433333333333,1277.417
2013-12,840.2548387096773,1221.588
2014-01,935.4645161290323,1243.068
2014-02,515.0928571428572,1298.713
2014-03,578.8677419354838,1336.56
2014-04,465.1933333333334,1299.175
2014-05,485.74838709677414,1288.913
2014-06,617.0699999999999,1277.857
2014-07,616.5483870967741,1312.989
2014-08,537.5129032258066,1297.005
2014-09,446.2933333333333,1241.33
2014-10,362.3806451612904,1223.565
2014-11,365.7999999999999,1176.413
2014-12,341.6064516129032,1200.44
2015-01,248.20967741935488,1249.333
2015-02,234.2,1231.1
2015-03,268.62903225806446,1180.636
2015-04,234.98,1198.253
2015-05,236.98709677419353,1197.684
2015-06,237.99000000000007,1182.248
2015-07,278.7483870967742,1131.58
2015-08,251.11935483870968,1117.525
2015-09,233.27666666666664,1124.905
2015-10,264.9129032258065,1157.123
2015-11,346.8966666666666,1088.388
2015-12,423.55161290322576,1068.317
2016-01,410.9387096774193,1095.655
2016-02,403.7896551724138,1194.893
2016-03,414.9612903225808,1246.312
2016-04,433.44666666666666,1241.452
2016-05,461.35161290322577,1259.755
2016-06,639.6466666666668,1273.58
2016-07,660.1612903225807,1337.429
2016-08,578.0225806451613,1340.861
2016-09,605.7333333333333,1326.618
2016-10,641.4903225806452,1268.929
2016-11,724.1333333333332,1240.293
2016-12,824.1225806451614,1152.165
2017-01,909.674193548387,1192.648
2017-02,1061.3285714285714,1233.39
2017-03,1129.2677419354839,1231.063
2017-04,1215.2366666666667,1267.15
2017-05,1877.5709677419354,1245.25
2017-06,2632.293333333334,1261.277
2017-07,2525.7419354838707,1235.1
2017-08,3878.9064516129038,1281.72
2017-09,4095.6766666666676,1317.045
2017-10,5351.39677419355,1280.677
2017-11,7771.94,1283.189
2017-12,15034.532258064513,1265.674
2018-01,13003.535483870968,1332.809
2018-02,9402.889285714287,1333.775
2018-03,8978.093548387098,1325.562
2018-04,8033.543333333333,1335.332
2018-05,8438.987096774194,1303.618
2018-06,6780.89,1282.126
2018-07,7131.041935483871,1238.064
2018-08,6678.367741935485,1201.859
2018-09,6594.463333333335,1199.198
2018-10,6522.125806451614,1214.726
2018-11,5446.906666666667,1221.275
2018-12,3686.0032258064507,1249.887
2019-01,3653.335483870968,1291.63
2019-02,3691.203571428571,1319.755
2019-03,3941.4612903225807,1302.286
2019-04,5148.216666666665,1287.65
2019-05,7295.803225806451,1282.46
2019-06,9404.706666666665,1358.488
2019-07,10672.509677419355,1414.611
2019-08,10648.51612903226,1497.102
2019-09,9782.813333333334,1510.336
2019-10,8375.012903225806,1494.765
2019-11,8340.096666666668,1471.921
2019-12,7254.854838709675,1480.025
2020-01,8378.8,1560.668
2020-02,9636.562068965519,1598.818
2020-03,6863.106451612904,1593.764
2020-04,7211.03,1680.03
2020-05,9253.551612903228,1715.697
2020-06,9481.85,1734.032
2020-07,9592.1,1840.807
